ano_compra;"cnpj_instituicao";"sg_uf";"ds_esfera";dt_compra;dt_insercao;validade_compra;"co_catmat";"ds_item";"co_pdm";"co_grupo";"no_grupo";"co_classe";"no_classe";"fg_generico";"tp_compra";"sg_unidade_medida";"cnpj_fornecedor";"no_fornecedor";"cnpj_fabricante";"no_fabricante";qt_medicamento;"ds_observacao";"no_instituicao";"no_municipio";"un_medida_capacidade";"no_pdm";"nu_processo_compra";"nu_ata";"un_fornecimento";"registro_anvisa";"modalidade";vl_capacidade;vl_preco_unitario;vl_preco_total;co_seq_bps
"2024";"18158261000108";"MG";"MUNICIPAL";"03/04/2024";"27/06/2024";"2";"267660";"FENOBARBITAL SÓDICO, DOSAGEM:100 MG";"7355";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"42799163000126";"BH FARMA COMERCIO LTDA";"60665981000118";"UNIAO QUIMICA FARMACEUTICA NACIONAL S A";"2000";"Adesão ata de adesão de registro de preços estado ata 247/2022.";"MUNICIPIO DE DOURADOQUARA";"DOURADOQUARA";"COMPRIMIDO";"FENOBARBITAL SÓDICO";"1989/1";"19/24";"COMPRIMIDO";"1049702850037";"Registro de Preços";;"0.1323";"264.6";"13133551"
"2024";"11216262000104";"RJ";"MUNICIPAL";"26/01/2024";"27/06/2024";"12";"291770";"ESCITALOPRAM OXALATO, DOSAGEM:10 MG";"17604";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"JUDICIAL";;"31097402000180";"ADL MED COMERCIO DE MEDICAMENTOS LTDA";"03485572000104";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"4230";"Eventual Aquisição de Medicamentos e insumos para atender demandas judiciais da Secretaria Municipal de Saúde do Município de Vassouras. Pregão Eletrônico nº 20/2023";"FUNDO MUNICIPAL DE SAUDE";"VASSOURAS";"COMPRIMIDO";"ESCITALOPRAM OXALATO";"1432/2023";"sim";"COMPRIMIDO";"1542301990096";"Registro de Preços";;"0.21";"888.3";"13133563"
"2024";"11216262000104";"RJ";"MUNICIPAL";"26/01/2024";"27/06/2024";"12";"272045";"CLOPIDOGREL, DOSAGEM:75 MG";"5090";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"JUDICIAL";;"31504080000146";"ESTEVIA DISTRIBUIDORA DE MEDICAMENTOS LTDA";"73663650000190";"RANBAXY FARMACEUTICA LTDA";"3300";"Eventual Aquisição de Medicamentos e insumos para atender demandas judiciais da Secretaria Municipal de Saúde do Município de Vassouras. Pregão Eletrônico nº 20/2023";"FUNDO MUNICIPAL DE SAUDE";"VASSOURAS";"COMPRIMIDO";"CLOPIDOGREL";"1432/2023";"sim";"COMPRIMIDO";"1235202070078";"Registro de Preços";;"0.41";"1353.0";"13133564"
"2024";"06554141000132";"PI";"MUNICIPAL";"11/04/2024";"18/06/2024";"12";"267671";"GLIBENCLAMIDA, DOSAGEM:5 MG";"8000";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";;"ADMINISTRATIVA";;"03894963000174";"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA";"03485572000104";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"120";;"MUNICIPIO DE NAZARE DO PIAUI";"NAZARE DO PIAUI";"COMPRIMIDO";"GLIBENCLAMIDA";"0502024";"00124";"COMPRIMIDO";;"Pregão";;"30.0";"3600.0";"13133576"
"2024";"06554141000132";"PI";"MUNICIPAL";"11/04/2024";"18/06/2024";"12";"273466";"LORATADINA, CONCENTRAÇÃO:10MG";"8919";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";;"ADMINISTRATIVA";;"03894963000174";"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA";"73856593000166";"PRATI, DONADUZZI & CIA LTDA";"300";;"MUNICIPIO DE NAZARE DO PIAUI";"NAZARE DO PIAUI";"COMPRIMIDO";"LORATADINA";"0502024";"00124";"COMPRIMIDO";;"Pregão";;"7.0";"2100.0";"13133579"
"2024";"06554141000132";"PI";"MUNICIPAL";"11/04/2024";"18/06/2024";"12";"267778";"PARACETAMOL, DOSAGEM COMPRIMIDO:500 MG";"10422";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";;"ADMINISTRATIVA";;"03894963000174";"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA";"03485572000104";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"120";;"MUNICIPIO DE NAZARE DO PIAUI";"NAZARE DO PIAUI";"COMPRIMIDO";"PARACETAMOL";"0502024";"00124";"COMPRIMIDO";;"Pregão";;"110.0";"13200.0";"13133580"
"2024";"06554141000132";"PI";"MUNICIPAL";"11/04/2024";"18/06/2024";"12";"268332";"IPRATRÓPIO BROMETO, DOSAGEM:0,02MG/DOSE, USO:AEROSSOL + FRASCO DOSIFICADOR";"8482";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";;"ADMINISTRATIVA";"ML";"03894963000174";"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA";"73856593000166";"PRATI, DONADUZZI & CIA LTDA";"200";;"MUNICIPIO DE NAZARE DO PIAUI";"NAZARE DO PIAUI";"FRASCO 10,00 ML";"IPRATRÓPIO BROMETO";"0502024";"00124";"FRASCO";;"Pregão";"1000.0";"2.9";"580.0";"13133583"
"2024";"06554141000132";"PI";"MUNICIPAL";"11/04/2024";"18/06/2024";"12";"267645";"DEXCLORFENIRAMINA MALEATO, DOSAGEM:2 MG";"9035";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";;"ADMINISTRATIVA";;"03894963000174";"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA";"73856593000166";"PRATI, DONADUZZI & CIA LTDA";"1710";;"MUNICIPIO DE NAZARE DO PIAUI";"NAZARE DO PIAUI";"COMPRIMIDO";"DEXCLORFENIRAMINA MALEATO";"0502024";"00124";"COMPRIMIDO";;"Pregão";;"5.21";"8909.1";"13133584"
"2024";"06554141000132";"PI";"MUNICIPAL";"11/04/2024";"18/06/2024";"12";"267717";"METRONIDAZOL, DOSAGEM:250 MG";"9712";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";;"ADMINISTRATIVA";;"03894963000174";"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA";"03485572000104";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"400";;"MUNICIPIO DE NAZARE DO PIAUI";"NAZARE DO PIAUI";"COMPRIMIDO";"METRONIDAZOL";"0502024";"00124";"COMPRIMIDO";;"Pregão";;"18.5";"7400.0";"13133586"
"2024";"06554141000132";"PI";"MUNICIPAL";"11/04/2024";"18/06/2024";"12";"273710";"NIMESULIDA, DOSAGEM:100 MG";"10083";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";;"ADMINISTRATIVA";;"03894963000174";"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA";"03485572000104";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"50";;"MUNICIPIO DE NAZARE DO PIAUI";"NAZARE DO PIAUI";"COMPRIMIDO";"NIMESULIDA";"0502024";"00124";"COMPRIMIDO";;"Pregão";;"86.0";"4300.0";"13133587"
